"Name","Position","PosRk","Team","Underdog"
"Christian McCaffrey","RB","RB1","SF","1.3"
"CeeDee Lamb","WR","WR1","DAL","2.0"
"Tyreek Hill","WR","WR2","MIA","3.1"
"Ja'Marr Chase","WR","WR3","CIN","4.1"
"Justin Jefferson","WR","WR4","MIN","5.4"
"Amon-Ra St. Brown","WR","WR5","DET","5.9"
"Bijan Robinson","RB","RB2","ATL","6.9"
"Breece Hall","RB","RB3","NYJ","8.2"
"A.J. Brown","WR","WR6","PHI","9.0"
"Puka Nacua","WR","WR7","LAR","10.1"
"Garrett Wilson","WR","WR8","NYJ","10.7"
"Jahmyr Gibbs","RB","RB4","DET","12.9"
"Marvin Harrison Jr.","WR","WR9","ARZ","13.4"
"Drake London","WR","WR10","ATL","14.4"
"Jonathan Taylor","RB","RB5","IND","16.1"
"Chris Olave","WR","WR11","NO","16.5"
"Brandon Aiyuk","WR","WR12","SF","18.3"
"Saquon Barkley","RB","RB6","PHI","19.1"
"Davante Adams","WR","WR13","LV","19.1"
"Nico Collins","WR","WR14","HOU","19.4"
"Jaylen Waddle","WR","WR15","MIA","20.6"
"Deebo Samuel","WR","WR16","SF","21.1"
"Mike Evans","WR","WR17","TB","23.1"
"De'Von Achane","RB","RB7","MIA","24.5"
"DeVonta Smith","WR","WR18","PHI","26.0"
"Malik Nabers","WR","WR19","NYG","26.1"
"DK Metcalf","WR","WR20","SEA","26.9"
"DJ Moore","WR","WR21","CHI","28.8"
"Stefon Diggs","WR","WR22","HOU","30.2"
"Kyren Williams","RB","RB8","LAR","30.4"
"Cooper Kupp","WR","WR23","LAR","30.6"
"Derrick Henry","RB","RB9","BLT","31.0"
"Michael Pittman Jr.","WR","WR24","IND","33.4"
"Sam LaPorta","TE","TE1","DET","35.0"
"Zay Flowers","WR","WR25","BLT","35.4"
"Tank Dell","WR","WR26","HOU","35.5"
"Josh Allen","QB","QB1","BUF","37.4"
"Travis Kelce","TE","TE2","KC","38.9"
"Tee Higgins","WR","WR27","CIN","39.6"
"Jalen Hurts","QB","QB2","PHI","40.4"
"George Pickens","WR","WR28","PIT","40.7"
"Amari Cooper","WR","WR29","CLV","41.8"
"Travis Etienne Jr.","RB","RB10","JAX","43.6"
"Christian Kirk","WR","WR30","JAX","44.0"
"Lamar Jackson","QB","QB3","BLT","45.6"
"Trey McBride","TE","TE3","ARZ","46.3"
"Isiah Pacheco","RB","RB11","KC","46.7"
"Terry McLaurin","WR","WR31","WAS","48.5"
"Patrick Mahomes","QB","QB4","KC","48.6"
"Mark Andrews","TE","TE4","BLT","49.4"
"Marquise Brown","WR","WR32","KC","51.2"
"Josh Jacobs","RB","RB12","GB","52.1"
"Dalton Kincaid","TE","TE5","BUF","52.6"
"Keenan Allen","WR","WR33","CHI","53.7"
"Jayden Reed","WR","WR34","GB","54.9"
"Calvin Ridley","WR","WR35","TEN","56.6"
"Anthony Richardson","QB","QB5","IND","57.4"
"James Cook","RB","RB13","BUF","58.3"
"Chris Godwin","WR","WR36","TB","60.2"
"Kyle Pitts","TE","TE6","ATL","60.2"
"Xavier Worthy","WR","WR37","KC","61.8"
"Rachaad White","RB","RB14","TB","63.0"
"Joe Mixon","RB","RB14","HOU","63.0"
"C.J. Stroud","QB","QB6","HOU","63.1"
"Rome Odunze","WR","WR38","CHI","65.8"
"Kenneth Walker III","RB","RB16","SEA","67.6"
"George Kittle","TE","TE7","SF","67.6"
"Jordan Addison","WR","WR39","MIN","67.9"
"Ladd McConkey","WR","WR40","LAC","69.3"
"DeAndre Hopkins","WR","WR41","TEN","69.5"
"Brian Thomas Jr.","WR","WR42","JAX","71.1"
"Rashee Rice","WR","WR43","KC","71.6"
"Diontae Johnson","WR","WR44","CAR","73.5"
"Christian Watson","WR","WR45","GB","74.2"
"Alvin Kamara","RB","RB17","NO","75.6"
"Keon Coleman","WR","WR46","BUF","76.2"
"David Montgomery","RB","RB18","DET","76.5"
"Jaxon Smith-Njigba","WR","WR47","SEA","77.3"
"Evan Engram","TE","TE8","JAX","78.8"
"Aaron Jones","RB","RB19","MIN","80.5"
"Kyler Murray","QB","QB7","ARZ","81.1"
"Rhamondre Stevenson","RB","RB20","NE","82.1"
"Jameson Williams","WR","WR48","DET","83.1"
"Najee Harris","RB","RB21","PIT","84.1"
"Jake Ferguson","TE","TE9","DAL","85.8"
"Jonathon Brooks","RB","RB22","CAR","87.5"
"Joe Burrow","QB","QB8","CIN","87.9"
"Zamir White","RB","RB23","LV","88.7"
"D'Andre Swift","RB","RB24","CHI","89.3"
"Jaylen Warren","RB","RB25","PIT","90.4"
"Zack Moss","RB","RB26","CIN","91.8"
"Courtland Sutton","WR","WR49","DEN","92.0"
"Curtis Samuel","WR","WR50","BUF","92.8"
"James Conner","RB","RB27","ARZ","93.5"
"Dak Prescott","QB","QB9","DAL","95.1"
"Raheem Mostert","RB","RB28","MIA","95.8"
"Brock Bowers","TE","TE10","LV","96.3"
"Jordan Love","QB","QB10","GB","97.2"
"Tyler Lockett","WR","WR51","SEA","98.3"
"Tony Pollard","RB","RB29","TEN","100.6"
"Jayden Daniels","QB","QB11","WAS","101.1"
"David Njoku","TE","TE11","CLV","102.4"
"Romeo Doubs","WR","WR52","GB","104.1"
"Rashid Shaheed","WR","WR53","NO","104.6"
"Trey Benson","RB","RB30","ARZ","106.2"
"Joshua Palmer","WR","WR54","LAC","107.1"
"Khalil Shakir","WR","WR55","BUF","107.2"
"Caleb Williams","QB","QB12","CHI","109.4"
"Javonte Williams","RB","RB31","DEN","109.9"
"Brian Robinson Jr.","RB","RB32","WAS","110.7"
"Devin Singletary","RB","RB32","NYG","110.7"
"Tyjae Spears","RB","RB34","TEN","111.8"
"Brock Purdy","QB","QB13","SF","113.5"
"Dallas Goedert","TE","TE12","PHI","115.0"
"Mike Williams","WR","WR56","NYJ","116.0"
"Adonai Mitchell","WR","WR57","IND","116.4"
"Blake Corum","RB","RB35","LAR","117.7"
"Trevor Lawrence","QB","QB14","JAX","118.5"
"Jakobi Meyers","WR","WR58","LV","119.5"
"Gus Edwards","RB","RB36","LAC","120.4"
"Brandin Cooks","WR","WR59","DAL","120.8"
"Chase Brown","RB","RB37","CIN","121.9"
"Dontayvion Wicks","WR","WR60","GB","122.8"
"Tua Tagovailoa","QB","QB15","MIA","124.3"
"Jerry Jeudy","WR","WR61","CLV","125.1"
"Jared Goff","QB","QB16","DET","125.9"
"Austin Ekeler","RB","RB38","WAS","127.3"
"Ezekiel Elliott","RB","RB38","NE","127.3"
"Jerome Ford","RB","RB40","CLV","127.8"
"Dalton Schultz","TE","TE13","HOU","129.9"
"Josh Downs","WR","WR62","IND","131.2"
"Gabe Davis","WR","WR63","JAX","131.6"
"Justin Herbert","QB","QB17","LAC","132.7"
"Zach Charbonnet","RB","RB41","SEA","133.9"
"Pat Freiermuth","TE","TE14","PIT","134.8"
"Jahan Dotson","WR","WR64","WAS","135.3"
"Kendre Miller","RB","RB42","NO","136.7"
"Xavier Legette","WR","WR65","CAR","138.1"
"Ricky Pearsall","WR","WR66","SF","138.9"
"Nick Chubb","RB","RB43","CLV","140.2"
"Rico Dowdle","RB","RB44","DAL","141.5"
"Ja'Lynn Polk","WR","WR67","NE","142.4"
"MarShawn Lloyd","RB","RB45","GB","142.4"
"Ty Chandler","RB","RB46","MIN","143.9"
"Cole Kmet","TE","TE15","CHI","144.9"
"T.J. Hockenson","TE","TE16","MIN","146.2"
"Kirk Cousins","QB","QB18","ATL","147.8"
"Quentin Johnston","WR","WR68","LAC","148.4"
"Darnell Mooney","WR","WR69","ATL","149.4"
"Luke Musgrave","TE","TE17","GB","150.3"
"Jermaine Burton","WR","WR70","CIN","151.0"
"Matthew Stafford","QB","QB19","LAR","152.5"
"Jaylen Wright","RB","RB47","MIA","152.5"
"Jaleel McLaughlin","RB","RB48","DEN","153.4"
"Tyler Allgeier","RB","RB49","ATL","156.7"
"Adam Thielen","WR","WR71","CAR","158.1"
"Roman Wilson","WR","WR72","PIT","158.9"
"Aaron Rodgers","QB","QB20","NYJ","160.9"
"Ray Davis","RB","RB50","BUF","161.2"
"Deshaun Watson","QB","QB21","CLV","161.9"
"Hunter Henry","TE","TE18","NE","162.0"
"Antonio Gibson","RB","RB51","NE","164.2"
"Rashod Bateman","WR","WR73","BLT","164.9"
"Wan'Dale Robinson","WR","WR74","NYG","165.9"
"Chuba Hubbard","RB","RB52","CAR","166.3"
